iter	Passed	Remaining
0	0	97
1	1	91
2	2	88
3	3	82
4	4	83
5	5	83
6	6	82
7	7	82
8	8	82
9	9	81
10	9	80
11	10	79
12	11	78
13	12	78
14	13	77
15	14	76
16	15	75
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	22	70
24	23	69
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	53	41
56	54	40
57	55	39
58	56	38
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
